"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Sex","Age group","Offence group","Police Force Area","Value","Value_type","Denominator (Prosecutions at Magistrates Court)","Numerator (Convictions and Magistrates Court and Crown Court)"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","Male","All","All","All","78.6","%","16672","13112"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","Female","All","All","All","79.6","%","2817","2242"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","Male","All","All","All","79.1","%","26263","20768"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","Female","All","All","All","77","%","1364","1050"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","Male","All","All","All","78.6","%","9450","7431"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","Female","All","All","All","85.6","%","499","427"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2012","Year","Male","All","All","All","82.6","%","3675","3034"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","Female","All","All","All","83.6","%","38350","32064"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2012","Year","Male","All","All","All","84.1","%","229514","193103"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","Female","All","All","All","68.3","%","1065","727"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2013","Year","Male","All","All","All","73.9","%","16838","12451"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","Female","All","All","All","74.6","%","2633","1965"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2013","Year","Male","All","All","All","76.4","%","26003","19855"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","Female","All","All","All","75","%","1294","970"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2013","Year","Male","All","All","All","75.8","%","9231","7001"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","Female","All","All","All","82.7","%","519","429"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2013","Year","Male","All","All","All","82","%","3620","2969"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","Female","All","All","All","80.6","%","37685","30367"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2013","Year","Male","All","All","All","81.7","%","222618","181883"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2014","Year","Female","All","All","All","70.6","%","943","666"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2014","Year","Male","All","All","All","74.7","%","15718","11740"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2014","Year","Female","All","All","All","74.1","%","2650","1963"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2014","Year","Male","All","All","All","77.1","%","24313","18748"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2014","Year","Female","All","All","All","75.5","%","1349","1019"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2014","Year","Male","All","All","All","76","%","8240","6264"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2014","Year","Female","All","All","All","84","%","443","372"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2014","Year","Male","All","All","All","79.3","%","3175","2518"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2014","Year","Female","All","All","All","81.1","%","37325","30288"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2014","Year","Male","All","All","All","81.7","%","209231","170946"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2015","Year","Female","All","All","All","70.5","%","932","657"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2015","Year","Male","All","All","All","78.3","%","14389","11273"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2015","Year","Female","All","All","All","78.7","%","2380","1873"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2015","Year","Male","All","All","All","79.8","%","22502","17961"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2015","Year","Female","All","All","All","78.4","%","1237","970"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2015","Year","Male","All","All","All","77.4","%","7930","6136"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2015","Year","Female","All","All","All","89.9","%","398","358"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2015","Year","Male","All","All","All","83.9","%","2978","2499"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2015","Year","Female","All","All","All","83.9","%","32796","27517"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2015","Year","Male","All","All","All","84.5","%","183811","155231"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2016","Year","Female","All","All","All","72.9","%","870","634"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2016","Year","Male","All","All","All","81.3","%","13750","11173"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2016","Year","Female","All","All","All","76.9","%","2205","1695"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2016","Year","Male","All","All","All","81.1","%","22667","18372"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2016","Year","Female","All","All","All","77.5","%","967","749"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2016","Year","Male","All","All","All","81.9","%","6613","5413"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2016","Year","Female","All","All","All","75.7","%","371","281"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2016","Year","Male","All","All","All","82.2","%","2691","2211"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2016","Year","Female","All","All","All","85","%","28083","23879"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2016","Year","Male","All","All","All","86.2","%","156719","135170"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2017","Year","Female","All","All","All","73.8","%","686","506"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2017","Year","Male","All","All","All","81","%","12442","10073"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2017","Year","Female","All","All","All","74","%","1938","1434"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2017","Year","Male","All","All","All","79.2","%","21308","16875"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2017","Year","Female","All","All","All","77.8","%","886","689"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2017","Year","Male","All","All","All","79.3","%","5912","4689"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2017","Year","Female","All","All","All","80.8","%","312","252"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2017","Year","Male","All","All","All","81.3","%","2429","1974"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2017","Year","Female","All","All","All","84.6","%","24959","21113"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2017","Year","Male","All","All","All","85.5","%","139509","119232"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2009","Year","All","Adults","All","All","72.8","%","14181","10322"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2009","Year","All","Juveniles","All","All","70.4","%","2315","1629"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2009","Year","All","Young adults","All","All","67.6","%","2675","1808"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2009","Year","All","Adults","All","All","73.8","%","22277","16444"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2009","Year","All","Juveniles","All","All","71.1","%","5399","3839"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2009","Year","All","Young adults","All","All","69","%","4777","3298"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2009","Year","All","Adults","All","All","71.8","%","6522","4686"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2009","Year","All","Juveniles","All","All","71.9","%","2767","1990"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2009","Year","All","Young adults","All","All","67.8","%","2303","1561"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2009","Year","All","Adults","All","All","74.7","%","4136","3090"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2009","Year","All","Juveniles","All","All","69.6","%","447","311"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2009","Year","All","Young adults","All","All","72.2","%","551","398"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2009","Year","All","Adults","All","All","79.2","%","210862","167086"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2009","Year","All","Juveniles","All","All","78.7","%","40529","31905"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2009","Year","All","Young adults","All","All","76.1","%","42689","32494"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2010","Year","All","Adults","All","All","77.1","%","15412","11882"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2010","Year","All","Juveniles","All","All","71.4","%","2392","1709"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2010","Year","All","Young adults","All","All","77.1","%","2753","2123"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2010","Year","All","Adults","All","All","78.3","%","23396","18318"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2010","Year","All","Juveniles","All","All","68.9","%","6126","4220"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2010","Year","All","Young adults","All","All","74.3","%","5203","3865"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","Adults","All","All","77.6","%","7434","5768"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","Juveniles","All","All","71.7","%","2817","2019"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2010","Year","All","Young adults","All","All","72.4","%","2566","1858"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","Adults","All","All","83.3","%","4232","3527"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","Juveniles","All","All","72.5","%","418","303"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2010","Year","All","Young adults","All","All","78.3","%","585","458"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","Adults","All","All","82.2","%","235124","193323"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","Juveniles","All","All","77.4","%","38868","30082"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2010","Year","All","Young adults","All","All","79.7","%","44006","35066"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","Adults","All","All","79.2","%","14942","11841"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","Juveniles","All","All","73.1","%","2302","1683"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2011","Year","All","Young adults","All","All","76.2","%","2920","2226"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","Adults","All","All","81.1","%","22752","18453"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","Juveniles","All","All","71","%","6082","4319"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2011","Year","All","Young adults","All","All","76.1","%","4992","3799"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","Adults","All","All","79","%","7587","5994"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","Juveniles","All","All","73.9","%","2766","2043"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2011","Year","All","Young adults","All","All","76.5","%","2228","1705"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","Adults","All","All","82.2","%","3915","3217"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","Juveniles","All","All","71.5","%","452","323"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Other inc Chinese","ONS 2001 5+1","2011","Year","All","Young adults","All","All","81.1","%","529","429"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","Adults","All","All","83.9","%","233537","195844"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","Juveniles","All","All","77.7","%","32600","25332"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","White","ONS 2001 5+1","2011","Year","All","Young adults","All","All","81.1","%","39535","32044"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","Adults","All","All","78.8","%","13547","10670"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","Juveniles","All","All","75","%","1829","1371"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Asian","ONS 2001 5+1","2012","Year","All","Young adults","All","All","78.3","%","2369","1854"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","Adults","All","All","80.6","%","20542","16564"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","Juveniles","All","All","72.3","%","4567","3304"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Black","ONS 2001 5+1","2012","Year","All","Young adults","All","All","78.7","%","4044","3182"
"Percentage of defendants convicted out of all those prosecuted (conviction ratio)","Mixed","ONS 2001 5+1","2012","Year","All","Adults","All","All","81.1","%","6900","5594"
