,lats,longs,text,size,color
64,54.327310,-2.746003,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
65,53.059512,-1.550286,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: None<br>Gender: Female,12,1
66,53.184958,-1.321155,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Female,12,1
67,53.241455,-1.431310,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
68,53.109328,-1.554592,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
69,52.885107,-1.286523,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: None,12,1
70,53.456476,-1.977643,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: over 34<br>Gender: Male,4,11
71,53.301457,-1.474915,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: None<br>Gender: Female,12,1
72,52.772984,-1.557097,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
73,50.806267,-3.165065,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: None<br>Gender: Male,12,1
74,50.726600,-3.533150,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: None<br>Gender: Male,12,11
75,50.532105,-3.608071,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
76,50.751395,-1.682056,Reason: Articles for use in criminal damage<br>Ethnicity: Other ethnic group - Not stated<br>Age: 10-17<br>Gender: Male,16,11
77,50.932223,-2.294326,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Female,8,1
78,50.733730,-2.757216,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
79,50.570171,-2.455948,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: over 34<br>Gender: Female,4,11
80,50.761684,0.284602,Reason: None<br>Ethnicity: White - Any other White background<br>Age: 25-34<br>Gender: Female,8,1
81,50.882490,0.586232,Reason: None<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
82,50.874736,0.015260,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
83,51.054334,0.443718,Reason: Psychoactive substances<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
84,50.815878,0.324811,Reason: None<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Female,8,1
85,51.578559,0.515984,Reason: Article for use in theft<br>Ethnicity: White - Any other White background<br>Age: 25-34<br>Gender: Male,8,1
86,51.879134,0.552410,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Female,8,1
87,51.643405,0.341031,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 25-34<br>Gender: Male,8,11
88,51.520253,0.592084,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
89,51.717122,0.482392,Reason: Controlled drugs<br>Ethnicity: None<br>Age: None<br>Gender: None,12,21
90,51.887105,0.902450,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
91,51.646280,0.079964,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
92,51.771302,0.092636,Reason: Controlled drugs<br>Ethnicity: Asian/Asian British - Any other Asian background<br>Age: 18-24<br>Gender: Male,12,41
93,51.651945,0.833277,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
94,51.590533,0.698740,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
95,51.789595,1.154379,Reason: Articles for use in criminal damage<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
96,51.871401,0.361659,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
97,51.911490,-2.113142,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
98,51.715995,-1.966892,Reason: Stolen goods<br>Ethnicity: None<br>Age: None<br>Gender: Other,12,21
99,51.752109,-2.570046,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
100,51.869002,-2.242224,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
101,51.744335,-2.207794,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
102,51.999772,-2.120196,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
103,51.259155,-1.067640,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Female,4,1
104,51.146986,-0.975188,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
105,50.965878,-1.309589,Reason: Article for use in theft<br>Ethnicity: Other ethnic group - Not stated<br>Age: over 34<br>Gender: Male,4,11
106,50.866061,-1.288526,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
107,50.793637,-1.128533,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
108,51.295070,-0.857643,Reason: Firearms<br>Ethnicity: White - Any other White background<br>Age: 25-34<br>Gender: Male,8,1
109,50.901603,-1.032618,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
110,50.817110,-1.333531,Reason: Stolen goods<br>Ethnicity: Other ethnic group - Any other ethnic group<br>Age: 25-34<br>Gender: Male,8,11
111,51.296580,-0.769654,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
112,51.207113,-1.478024,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Female,8,1
113,50.903762,-1.072551,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Female,4,1
114,51.761874,-0.010139,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
115,51.759953,-0.469060,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 18-24<br>Gender: Male,12,11
116,51.663405,-0.329040,Reason: Offensive weapons<br>Ethnicity: Other ethnic group - Not stated<br>Age: 18-24<br>Gender: Male,12,11
117,51.980300,-0.229147,Reason: Stolen goods<br>Ethnicity: Other ethnic group - Not stated<br>Age: 18-24<br>Gender: Male,12,11
118,51.703841,-0.381633,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: None,12,1
119,51.653173,-0.414750,Reason: Offensive weapons<br>Ethnicity: Asian/Asian British - Any other Asian background<br>Age: 25-34<br>Gender: Male,8,41
120,51.145154,0.877721,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
121,51.299641,1.121757,Reason: Stolen goods<br>Ethnicity: Other ethnic group - Not stated<br>Age: None<br>Gender: None,12,11
122,51.453330,0.249505,Reason: Article for use in theft<br>Ethnicity: White - Any other White background<br>Age: 25-34<br>Gender: Male,8,1
123,51.150915,1.295340,Reason: Controlled drugs<br>Ethnicity: Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background<br>Age: over 34<br>Gender: Male,4,21
124,51.444632,0.324732,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 18-24<br>Gender: None,12,11
125,51.277888,0.507661,Reason: Article for use in theft<br>Ethnicity: Other ethnic group - Not stated<br>Age: None<br>Gender: None,12,11
126,51.310192,0.191787,Reason: Psychoactive substances<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
127,51.440700,0.758252,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 18-24<br>Gender: Male,12,11
128,51.385200,1.371920,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
129,51.187866,0.284380,Reason: Psychoactive substances<br>Ethnicity: Black/African/Caribbean/Black British - Any other Black/African/Caribbean background<br>Age: 25-34<br>Gender: Male,8,31
130,51.182400,0.389458,Reason: Controlled drugs<br>Ethnicity: Black/African/Caribbean/Black British - Any other Black/African/Caribbean background<br>Age: 10-17<br>Gender: Male,16,31
131,53.785200,-2.249430,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
132,53.856984,-2.978253,Reason: Articles for use in criminal damage<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
133,54.048800,-2.807800,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
134,53.831140,-2.213664,Reason: Fireworks<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
135,53.755800,-2.707290,Reason: Offensive weapons<br>Ethnicity: Black/African/Caribbean/Black British - Caribbean<br>Age: over 34<br>Gender: Male,4,31
136,53.821407,-2.407518,Reason: Fireworks<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
137,53.699524,-2.269431,Reason: None<br>Ethnicity: None<br>Age: None<br>Gender: None,12,21
138,53.693148,-2.729214,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
139,53.542061,-2.769501,Reason: Articles for use in criminal damage<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
140,52.599816,-1.180859,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
141,52.697966,-1.092752,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
142,52.542324,-1.371966,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
143,52.743528,-1.472058,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
144,52.591193,-1.091770,Reason: Controlled drugs<br>Ethnicity: White - Any other White background<br>Age: 10-17<br>Gender: Male,16,1
145,53.078718,0.117289,Reason: Stolen goods<br>Ethnicity: None<br>Age: None<br>Gender: None,12,21
146,53.221970,-0.283667,Reason: Psychoactive substances<br>Ethnicity: Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background<br>Age: 18-24<br>Gender: Male,12,21
147,53.235321,-0.543863,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
148,53.032499,-0.384796,Reason: Evidence of offences under the Act<br>Ethnicity: None<br>Age: None<br>Gender: None,12,21
149,52.803732,0.016017,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
150,52.909517,-0.639946,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Female,4,1
151,53.233520,-0.485911,Reason: Controlled drugs<br>Ethnicity: White - Any other White background<br>Age: 25-34<br>Gender: Male,8,1
152,52.412361,0.743123,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
153,52.629535,1.365532,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Female,4,1
154,52.578893,1.717519,Reason: Controlled drugs<br>Ethnicity: White - Any other White background<br>Age: 18-24<br>Gender: Male,12,1
155,52.604207,0.395623,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
156,52.838079,1.437091,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
157,52.637465,1.306904,Reason: Offensive weapons<br>Ethnicity: Black/African/Caribbean/Black British - African<br>Age: 18-24<br>Gender: Male,12,31
158,52.637465,1.306904,Reason: Offensive weapons<br>Ethnicity: Black/African/Caribbean/Black British - African<br>Age: 18-24<br>Gender: Male,12,31
159,52.496098,-0.678029,Reason: Controlled drugs<br>Ethnicity: Asian/Asian British - Any other Asian background<br>Age: 18-24<br>Gender: Male,12,41
160,52.255609,-1.160770,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 18-24<br>Gender: Male,12,11
161,52.289129,-0.599717,Reason: Controlled drugs<br>Ethnicity: Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background<br>Age: 25-34<br>Gender: Male,8,21
162,52.400987,-0.725528,Reason: Stolen goods<br>Ethnicity: Other ethnic group - Not stated<br>Age: 25-34<br>Gender: Male,8,11
163,52.237773,-0.888839,Reason: Controlled drugs<br>Ethnicity: White - Any other White background<br>Age: over 34<br>Gender: Male,4,1
164,52.071798,-1.275262,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
165,52.304416,-0.698221,Reason: Controlled drugs<br>Ethnicity: White - Any other White background<br>Age: 18-24<br>Gender: Male,12,1
166,53.901912,-1.991243,Reason: None<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
167,54.337826,-1.431857,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: over 34<br>Gender: Male,4,1
168,54.001936,-1.443579,Reason: None<br>Ethnicity: Black/African/Caribbean/Black British - Any other Black/African/Caribbean background<br>Age: 18-24<br>Gender: Male,12,31
169,54.404928,-1.735615,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Female,12,1
170,54.246239,-0.778342,Reason: Offensive weapons<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 10-17<br>Gender: Male,16,1
171,54.232302,-0.421895,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
172,53.699211,-1.142087,Reason: Offensive weapons<br>Ethnicity: Other ethnic group - Not stated<br>Age: over 34<br>Gender: Male,4,11
173,52.073600,-1.341780,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
174,51.753700,-1.270310,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Any other ethnic group<br>Age: 25-34<br>Gender: Male,8,11
175,51.608695,-1.242700,Reason: Controlled drugs<br>Ethnicity: Black/African/Caribbean/Black British - Caribbean<br>Age: 18-24<br>Gender: Male,12,31
176,51.670140,-1.298881,Reason: Anything to threaten or harm anyone<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: None<br>Gender: Male,12,1
177,51.782887,-1.472047,Reason: Controlled drugs<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
178,51.140429,-2.642223,Reason: Firearms<br>Ethnicity: None<br>Age: None<br>Gender: None,12,21
179,51.233779,-2.998336,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: 18-24<br>Gender: Male,12,11
180,50.949463,-2.614846,Reason: Article for use in theft<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 25-34<br>Gender: Male,8,1
181,51.019719,-3.106877,Reason: Controlled drugs<br>Ethnicity: Black/African/Caribbean/Black British - Caribbean<br>Age: over 34<br>Gender: Male,4,31
182,51.203506,-3.477966,Reason: Controlled drugs<br>Ethnicity: Other ethnic group - Not stated<br>Age: over 34<br>Gender: Male,4,11
183,52.754600,-1.936850,Reason: Stolen goods<br>Ethnicity: White - English/Welsh/Scottish/Northern Irish/British<br>Age: 18-24<br>Gender: Male,12,1
184,52.796846,-1.640665,Reason: Offensive weapons<br>Ethnicity: Other ethnic group - Not stated<br>Age: over 34<br>Gender: Male,4,11
